DistrictId,Rooms,Square,KitchenSquare,Floor,HouseFloor,Ecology_1,Social_1,Social_2,Social_3,Helthcare_2,Shops_1,Ecology_2_A,Ecology_2_B,Ecology_3_A,Ecology_3_B,Shops_2_A,Shops_2_B,Price
0,1,109.14449153128444,15,6,15,0.319809354,25,4756,16,5,8,0,1,0,1,0,1,289034.39187133923
2,1,34.47226308060814,5,5,18,0.0,33,7425,1,2,5,0,1,0,1,0,1,174548.96633887495
5,3,57.60796465343496,5,3,9,0.150817539,16,3433,4,4,5,0,1,0,1,0,1,258091.8836793889
6,1,42.46681304089621,1,14,17,0.243204519,5,1564,0,0,0,0,1,0,1,0,1,127196.7620313497
6,3,75.88815582675768,1,11,17,0.243204519,5,1564,0,0,0,0,1,0,1,0,1,218500.7470407173
9,3,76.36745554457008,10,14,14,0.069753361,53,13670,4,1,11,0,1,0,1,0,1,307799.6723688526
12,2,57.639461495763854,8,17,17,0.090799103,74,19083,2,5,15,0,1,0,1,0,1,236258.54773902372
13,1,46.833812204715244,9,6,25,0.090799103,74,19083,2,5,15,0,1,0,1,0,1,213389.21999209185
9,2,60.150857249677436,11,6,14,0.31019913,11,2748,1,0,0,0,1,0,1,0,1,206431.59341627784
16,3,64.08092957649615,6,5,9,0.037177818,52,11217,1,1,7,0,1,0,1,0,1,258719.28870838077
6,1,41.132439058877935,10,24,25,0.243204519,5,1564,0,0,0,0,1,0,1,0,1,135481.81638107833
1,2,51.12264859702986,8,6,14,0.025609157,33,5261,0,3,1,0,1,0,1,0,1,119191.50715337676
17,3,73.88595629605369,7,5,9,0.0,25,5027,4,1,1,0,1,0,1,0,1,473609.9729076294
18,1,39.74745124574346,7,3,17,0.0,30,5562,0,0,5,0,1,0,1,1,0,164329.93086880632
19,1,40.59837302260053,10,3,16,0.309479124,35,7715,4,0,6,0,1,0,1,0,1,187656.17747212513
20,2,54.90456646810093,8,15,23,0.019508796,37,7687,11,5,5,0,1,0,1,0,1,391080.5628035223
22,3,73.93021713152798,1,4,17,0.118537385,30,6207,1,1,0,0,1,0,1,0,1,202717.17462047518
25,3,88.40676229357331,1,21,25,0.069753361,53,13670,4,1,11,0,1,0,1,0,1,323536.76683847763
26,2,47.014176749094545,5,7,5,0.0,36,6714,2,0,2,0,1,0,1,0,1,181631.0449322163
6,3,78.38005268918644,1,23,25,0.243204519,5,1564,0,0,0,0,1,0,1,0,1,206647.24566561845
7,2,43.94828799946549,4,6,5,0.130617806,39,10418,9,1,9,0,1,0,1,0,1,180923.16951988928
6,2,65.86100962681658,12,12,17,0.243204519,5,1564,0,0,0,0,1,0,1,0,1,178955.4972942505
28,1,31.67176834192091,5,3,5,0.118537385,30,6207,1,1,0,0,1,0,1,0,1,156561.22982981786
19,3,79.3346295871465,12,6,14,0.309479124,35,7715,4,0,6,0,1,0,1,0,1,349701.05374858755
29,3,65.09845796799003,9,11,12,0.086885265,10,2277,2,0,0,0,1,0,1,0,1,294802.6420533637
30,2,59.015896386353255,12,5,5,7.81528e-05,22,6398,141,3,23,0,1,0,1,0,1,126281.14278085016
2,2,46.73950056906274,5,3,5,0.0,33,7425,1,2,5,0,1,0,1,0,1,146622.85498423962
31,1,39.43284225947269,8,4,14,0.0,23,3684,2,0,4,0,1,0,1,0,1,279522.90808996954
32,1,42.72896813188467,9,6,16,0.135649789,46,7960,6,3,11,0,1,0,1,0,1,242957.80162312585
4,2,47.72689256394523,5,4,8,0.042031587,37,6856,84,2,5,0,1,0,1,0,1,315704.33649477013
25,2,54.190350257127335,1,15,1,0.069753361,53,13670,4,1,11,0,1,0,1,0,1,236862.26391031547
2,2,45.0538983462772,5,2,5,0.0,33,7425,1,2,5,0,1,0,1,0,1,196512.5960342538
13,3,80.63133314689291,10,11,14,0.090799103,74,19083,2,5,15,0,1,0,1,0,1,350684.6285601905
1,3,87.1813500535642,1,6,17,0.007122317,1,264,0,0,1,0,1,0,1,0,1,246515.9829120923
1,2,65.82559769983726,1,16,17,0.007122317,1,264,0,0,1,0,1,0,1,0,1,223995.66936851307
35,2,46.76017688460839,6,4,9,0.089039719,33,7976,5,0,11,0,1,0,1,0,1,203384.32802587762
