;Id;DistrictId;Rooms;Square;LifeSquare;KitchenSquare;Floor;HouseFloor;HouseYear;Ecology_1;Ecology_2;Ecology_3;Social_1;Social_2;Social_3;Healthcare_1;Helthcare_2;Shops_1;Shops_2;Price
7447;9944;23;3,0;78,06284829103095;67,70905801119426;1,0;14;17,0;2017;0,014333947;B;B;2;528;0;0,0;0;0;B;431238,4670110489
7101;8663;128;1,0;40,47119115856822;19,90632450825284;8,0;4;17,0;2007;0,0;B;B;27;4798;0;30,0;2;8;B;206963,9131566777
7782;5080;9;2,0;51,90793717337542;53,78853599379078;1,0;1;1,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;154970,5918389769
5521;8698;9;1,0;41,26450113140029;35,06208560282425;7,0;10;14,0;1996;0,161531741;B;B;25;5648;1;30,0;2;4;B;137445,32581347734
6481;2296;3;1,0;46,82863839712961;21,61636159196493;8,0;13;16,0;2007;0,050900058;B;B;43;10621;1;30,0;2;3;B;163482,28247604467
7352;2297;93;1,0;37,83158115280525;21,739724181449827;9,0;8;12,0;1977;0,050900058;B;B;43;10621;1;30,0;2;3;B;143018,0492862415
4463;10504;9;1,0;41,74214738042378;22,481789509507042;8,0;3;10,0;1996;0,161531741;B;B;25;5648;1;30,0;2;4;B;134320,38616735206
3682;13122;3;1,0;34,01522423558423;21,14091547170813;6,0;8;9,0;1974;0,050900058;B;B;43;10621;1;30,0;2;3;B;166193,39026655257
6924;14752;9;1,0;39,1173439490001;21,286378128431128;7,0;12;17,0;1994;0,161531741;B;B;25;5648;1;30,0;2;4;B;136800,15930747788
8619;10554;128;1,0;43,40745371288029;20,024223620600928;8,0;5;9,0;1991;0,0;B;B;27;4798;0;30,0;2;8;B;186387,31956399235
5038;2332;9;2,0;62,708308213033064;5,717345491264452;1,0;10;1,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;182384,1722497861
9832;2382;9;2,0;56,51326147831565;34,85582068965107;8,0;14;14,0;1997;0,161531741;B;B;25;5648;1;30,0;2;4;B;196626,87668100692
4635;13068;9;1,0;41,46731793530371;20,085635048400796;8,0;4;17,0;1995;0,161531741;B;B;25;5648;1;30,0;2;4;B;131115,57885653677
3943;8779;9;3,0;83,40274329376999;45,54990648591453;9,0;21;22,0;1996;0,161531741;B;B;25;5648;1;30,0;2;4;B;256504,24383595405
9058;4473;9;1,0;37,27375689335114;20,407565411381547;9,0;10;14,0;1994;0,161531741;B;B;25;5648;1;30,0;2;4;B;133960,18752834346
8138;4640;128;3,0;78,11464677306333;45,8117458036116;10,0;12;17,0;1988;0,0;B;B;27;4798;0;30,0;2;8;B;326736,684568007
7546;4665;9;2,0;55,769374836797034;32,028748888877956;8,0;8;17,0;1992;0,161531741;B;B;25;5648;1;30,0;2;4;B;186176,67274897645
8849;14865;9;10,0;60,87126567734032;38,42068102118979;10,0;3;2,0;1994;0,161531741;B;B;25;5648;1;30,0;2;4;B;172329,270863477
8128;3300;93;3,0;76,74394026218938;47,01581451082964;10,0;7;16,0;1983;0,050900058;B;B;43;10621;1;30,0;2;3;B;268176,09201435425
1592;15867;9;1,0;34,14170720107184;16,526473483330978;9,0;8;12,0;2012;0,161531741;B;B;25;5648;1;30,0;2;4;B;125012,31473021785
9938;15868;9;2,0;64,41232574518087;61,3379378857215;1,0;13;1,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;183118,39648692714
1609;14969;9;3,0;86,80239639788034;5,419927690458803;1,0;5;1,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;238084,2083015009
8583;4980;3;1,0;39,513971432782405;23,26408223357905;8,0;10;12,0;1985;0,050900058;B;B;43;10621;1;30,0;2;3;B;158638,92234413663
4583;4654;3;1,0;36,418685112885;22,723338744820232;6,0;6;9,0;1973;0,050900058;B;B;43;10621;1;30,0;2;3;B;107658,01367778098
6561;2709;128;3,0;65,43476827497588;41,23806642884642;7,0;8;9,0;1957;0,0;B;B;27;4798;0;30,0;2;8;B;287236,1373770783
3710;2713;9;1,0;42,04893661470891;20,700129037593324;8,0;3;17,0;2015;0,161531741;B;B;25;5648;1;30,0;2;4;B;137434,76842031974
8855;4512;9;2,0;64,97791012043115;5,768457429952581;1,0;11;1,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;194036,36463431932
6443;4507;9;1,0;41,02584486087945;25,050212789556788;8,0;4;14,0;1994;0,161531741;B;B;25;5648;1;30,0;2;4;B;135399,68953737765
852;9006;9;2,0;54,561843257702996;31,64677595531289;8,0;10;14,0;1990;0,161531741;B;B;25;5648;1;30,0;2;4;B;167968,00588417894
3294;10219;93;1,0;40,422991819162974;18,755570519779006;8,0;7;16,0;2005;0,050900058;B;B;43;10621;1;30,0;2;3;B;141704,7967760466
1535;14727;128;1,0;38,19657728923015;21,444902547136103;7,0;18;17,0;2003;0,0;B;B;27;4798;0;30,0;2;8;B;241391,34358162282
4864;4997;9;1,0;40,80660349981816;36,84791117973372;7,0;13;14,0;1995;0,161531741;B;B;25;5648;1;30,0;2;4;B;148394,45884670728
3311;15022;3;2,0;52,89580432651238;34,97344063849119;8,0;4;12,0;1983;0,050900058;B;B;43;10621;1;30,0;2;3;B;213450,01764287992
3995;14970;9;2,0;62,622294950809746;54,64574106551241;1,0;11;1,0;1977;0,161531741;B;B;25;5648;1;30,0;2;4;B;186863,5463811971
3319;2802;128;3,0;75,74838686404695;42,92516825783306;10,0;6;16,0;2003;0,0;B;B;27;4798;0;30,0;2;8;B;340197,3008199215
8121;9056;9;1,0;40,18729203274874;24,3504577391913;8,0;3;14,0;1990;0,161531741;B;B;25;5648;1;30,0;2;4;B;134109,5419477325
8690;9063;9;1,0;43,05935252015657;24,98542875313439;8,0;11;14,0;1989;0,161531741;B;B;25;5648;1;30,0;2;4;B;151461,12251175437
2876;14978;9;2,0;56,835810670322616;37,694168596007856;8,0;7;17,0;2007;0,161531741;B;B;25;5648;1;30,0;2;4;B;201808,23946555503
6339;15666;128;4,0;102,41464725641306;67,11791911086652;10,0;14;22,0;1991;0,0;B;B;27;4798;0;30,0;2;8;B;427873,8403752413
7001;15003;3;1,0;40,025525446364725;21,32414869968272;8,0;14;12,0;1984;0,050900058;B;B;43;10621;1;30,0;2;3;B;157367,7197215242
