HouseYear;Rooms;Square;LifeSquare;KitchenSquare
1910;1;50,80892501;15,92034335;20
1912;1;63,2930786;29,38981532;18
1912;4;151,1506598;98,18748159;23
1914;2;56,17236423;28,38421312;7
1916;3;102,9644681;48,32210715;14
1917;1;35,50773773;20,3127249;4
1917;2;54,75136652;31,51508238;10
1917;3;75,56470863;44,87261638;9
1918;2;47,48941478;35,56447921;4
1918;2;67,8388612;65,20002471;9
1918;2;76,0833115;48,02624631;14
1918;3;65,47526009;44,18467412;7
1918;4;96,73098525;53,58922255;17
1919;1;44,08218269;27,71768962;7
1919;2;52,66513004;30,09900794;8
1919;3;70,02348632;51,23607541;7
1928;3;64,0488401;42,84448551;6
1929;3;63,92270047;41,73858846;7
1929;3;68,41642793;47,76721576;7
1930;1;40,3986166;19,50146235;9
1930;3;69,58966146;48,85672347;5
1930;3;84,63069324;55,84904062;11
1931;2;28,51766569;15,565872;3
1931;2;59,38507551;29,2354096;9
1931;2;61,71410902;32,48698773;9
1931;3;65,20397781;42,31901233;9
1931;3;71,09370997;46,57304;7
1931;3;76,78095961;55,77004299;7
1931;3;87,84849421;56,58907632;11
1932;1;28,1453336;17,65039924;4
1932;2;49,65280742;29,20077705;8
1933;2;42,35348472;30,66117968;6
1933;2;47,32894896;27,93166416;8
1933;3;76,29753517;53,91314847;6
1933;4;78,2047022;63,86759304;4
1933;4;88,94726209;64,48348963;7
1934;2;44,49564422;30,37781432;5
1934;2;47,6162094;30,51293234;6
1934;3;64,46082719;42,08874155;6
1934;3;89,71819727;58,74759892;12
1935;1;36,57097863;22,05173449;7
1935;2;43,43936712;29,3288879;6
1935;2;56,59158557;37,604037;9
1935;3;65,81275714;48,98872572;6
1935;3;77,81182279;48,79081564;5
1935;4;86,4825565;70,11206943;5
1935;4;101,4963652;72,48279577;9
1936;2;68,17892107;34,85101623;11
1936;3;61,69076797;43,80242856;4
1936;3;73,39796369;42,47504194;15
1937;2;55,58079509;33,10419757;6
1937;2;64,26986332;38,9830663;8
1937;3;66,67943514;42,35988381;8
1937;3;69,25043439;51,16566335;6
1937;3;91,90401514;62,83971567;7
1938;2;56,95745468;31,73408733;6
1938;3;49,93456053;35,98028727;3
1938;3;72,67737605;52,20800025;7
1938;4;79,1423669;55,24214407;7
1939;2;63,1316545;41,86791335;8
1939;2;73,34192749;35,44427926;15
1939;3;72,60298579;49,63749914;8
1939;3;84,12878565;59,88505515;11
